2025-07-26 11:39:52,252 INFO Job-4: Day 2025-07-28 - molds_today=5, pouring=54, flasks=45, remaining=36, available=5
2025-07-26 11:39:52,252 INFO Job-4: Day 2025-07-29 - molds_today=5, pouring=54, flasks=40, remaining=31, available=5
2025-07-26 11:39:52,252 INFO Job-4: Day 2025-07-30 - molds_today=5, pouring=54, flasks=35, remaining=26, available=5
2025-07-26 11:39:52,252 INFO Job-4: Day 2025-07-31 - molds_today=5, pouring=54, flasks=30, remaining=21, available=5
2025-07-26 11:39:52,252 INFO Job-4: Day 2025-08-01 - molds_today=5, pouring=54, flasks=25, remaining=16, available=5
2025-07-26 11:39:52,252 INFO Job-4: Day 2025-08-04 - molds_today=5, pouring=54, flasks=25, remaining=11, available=5
2025-07-26 11:39:52,252 INFO Job-4: Day 2025-08-05 - molds_today=5, pouring=54, flasks=35, remaining=6, available=5
2025-07-26 11:39:52,252 INFO Job-4: Day 2025-08-06 - molds_today=5, pouring=54, flasks=30, remaining=1, available=1
2025-07-26 11:39:52,253 INFO Job-3: Day 2025-07-28 - molds_today=5, pouring=16, flasks=20, remaining=36, available=5
2025-07-26 11:39:52,253 INFO Job-3: Day 2025-07-29 - molds_today=5, pouring=16, flasks=15, remaining=31, available=5
2025-07-26 11:39:52,253 INFO Job-3: Day 2025-07-30 - molds_today=5, pouring=16, flasks=10, remaining=26, available=5
2025-07-26 11:39:52,253 INFO Job-3: Day 2025-07-31 - molds_today=5, pouring=16, flasks=5, remaining=21, available=5
2025-07-26 11:39:52,253 INFO Job-3: Day 2025-08-01 - molds_today=5, pouring=16, flasks=0, remaining=16, available=0
2025-07-26 11:39:52,253 INFO Job-3: Day 2025-08-04 - molds_today=5, pouring=16, flasks=0, remaining=16, available=0
2025-07-26 11:39:52,253 INFO Job-3: Day 2025-08-05 - molds_today=5, pouring=16, flasks=20, remaining=16, available=5
2025-07-26 11:39:52,253 INFO Job-3: Day 2025-08-06 - molds_today=5, pouring=18, flasks=19, remaining=11, available=5
2025-07-26 11:39:52,253 INFO Job-3: Day 2025-08-07 - molds_today=5, pouring=18, flasks=19, remaining=6, available=5
2025-07-26 11:39:52,253 INFO Job-3: Day 2025-08-08 - molds_today=5, pouring=18, flasks=19, remaining=1, available=1
2025-07-26 11:39:52,253 INFO Job-2: Day 2025-07-28 - molds_today=5, pouring=23, flasks=0, remaining=24, available=0
2025-07-26 11:39:52,253 INFO Job-2: Day 2025-07-29 - molds_today=5, pouring=23, flasks=0, remaining=24, available=0
2025-07-26 11:39:52,253 INFO Job-2: Day 2025-07-30 - molds_today=5, pouring=23, flasks=0, remaining=24, available=0
2025-07-26 11:39:52,253 INFO Job-2: Day 2025-07-31 - molds_today=5, pouring=23, flasks=0, remaining=24, available=0
2025-07-26 11:39:52,253 INFO Job-2: Day 2025-08-01 - molds_today=5, pouring=34, flasks=0, remaining=24, available=0
2025-07-26 11:39:52,253 INFO Job-2: Day 2025-08-04 - molds_today=5, pouring=34, flasks=0, remaining=24, available=0
2025-07-26 11:39:52,253 INFO Job-2: Day 2025-08-05 - molds_today=5, pouring=23, flasks=14, remaining=24, available=5
2025-07-26 11:39:52,253 INFO Job-2: Day 2025-08-06 - molds_today=5, pouring=26, flasks=9, remaining=19, available=5
2025-07-26 11:39:52,253 INFO Job-2: Day 2025-08-07 - molds_today=5, pouring=27, flasks=4, remaining=14, available=4
2025-07-26 11:39:52,253 INFO Job-2: Day 2025-08-08 - molds_today=5, pouring=35, flasks=4, remaining=10, available=4
2025-07-26 11:39:52,254 INFO Job-2: Day 2025-08-11 - molds_today=5, pouring=37, flasks=5, remaining=6, available=5
2025-07-26 11:39:52,254 INFO Job-2: Day 2025-08-12 - molds_today=5, pouring=37, flasks=21, remaining=1, available=1
2025-07-26 11:39:52,254 INFO Job-5-SAMPLE: Day 2025-08-27 - molds_today=5, pouring=109, flasks=45, remaining=5, available=5
2025-07-26 11:39:52,254 INFO Job-5: Day 2025-09-29 - molds_today=5, pouring=109, flasks=45, remaining=19, available=5
2025-07-26 11:39:52,254 INFO Job-5: Day 2025-09-30 - molds_today=5, pouring=109, flasks=40, remaining=14, available=5
2025-07-26 11:39:52,254 INFO Job-5: Day 2025-10-01 - molds_today=5, pouring=109, flasks=35, remaining=9, available=5
2025-07-26 11:39:52,254 INFO Job-5: Day 2025-10-02 - molds_today=5, pouring=109, flasks=30, remaining=4, available=4
2025-07-26 11:39:52,254 INFO Job-1: Day 2025-07-28 - molds_today=5, pouring=31, flasks=100, remaining=32, available=4
2025-07-26 11:39:52,254 INFO Job-1: Day 2025-07-29 - molds_today=5, pouring=31, flasks=96, remaining=28, available=4
2025-07-26 11:39:52,254 INFO Job-1: Day 2025-07-30 - molds_today=5, pouring=31, flasks=92, remaining=24, available=4
2025-07-26 11:39:52,254 INFO Job-1: Day 2025-07-31 - molds_today=5, pouring=31, flasks=88, remaining=20, available=4
2025-07-26 11:39:52,254 INFO Job-1: Day 2025-08-01 - molds_today=5, pouring=45, flasks=84, remaining=16, available=4
2025-07-26 11:39:52,254 INFO Job-1: Day 2025-08-04 - molds_today=5, pouring=45, flasks=80, remaining=12, available=4
2025-07-26 11:39:52,254 INFO Job-1: Day 2025-08-05 - molds_today=5, pouring=25, flasks=88, remaining=8, available=4
2025-07-26 11:39:52,254 INFO Job-1: Day 2025-08-06 - molds_today=5, pouring=28, flasks=88, remaining=4, available=4
2025-07-26 11:39:52,258 INFO Full plan saved to full_plan.json
